Starting grid search with num_random_contexts=1 and embedding_pool_strategy=last
Model name: meta-llama/Llama-3.1-8B-Instruct
Context sample strategy: random
Num random contexts: 1
Embedding pool strategy: last
Num train epochs: 10
Force reload data: false
VPL data for PRISM already exists. Skipping data generation.
20744 5134
trainable params: 71,303,168 || all params: 7,593,005,056 || trainable%: 0.9391
{'train_recon_loss': 0.6928728222846985, 'train_kld': 1.544816404930316e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.08184814453125, 'rewards_rejected': -0.0823974609375, 'embeddings_chosen': 0.0003662109375, 'embeddings_rejected': 9.441375732421875e-05, 'mean': -0.0033654682338237762, 'log_var': 0.004898861516267061, 'epoch': 0}
{'train_recon_loss': 0.6935440301895142, 'train_kld': 1.653393337619491e-05, 'train_accuracy': 0.0, 'rewards_chosen': -0.05755615234375, 'rewards_rejected': -0.0567626953125, 'embeddings_chosen': 0.0002689361572265625, 'embeddings_rejected': 0.00013256072998046875, 'mean': -0.00325441244058311, 'log_var': 0.004550382494926453, 'epoch': 0}
{'train_recon_loss': 0.6922636032104492, 'train_kld': 1.826085281209089e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.06951904296875, 'rewards_rejected': -0.0712890625, 'embeddings_chosen': 0.000408172607421875, 'embeddings_rejected': 0.0004863739013671875, 'mean': -0.0034497412852942944, 'log_var': 0.004253506660461426, 'epoch': 0}
{'train_recon_loss': 0.6933180093765259, 'train_kld': 1.729467840050347e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.032154083251953125, 'rewards_rejected': -0.03181266784667969, 'embeddings_chosen': 9.298324584960938e-05, 'embeddings_rejected': 0.0002384185791015625, 'mean': -0.0028640509117394686, 'log_var': 0.005838724784553051, 'epoch': 0}
{'train_recon_loss': 0.6931175589561462, 'train_kld': 1.727907692838926e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.07830810546875, 'rewards_rejected': -0.078369140625, 'embeddings_chosen': 9.107589721679688e-05, 'embeddings_rejected': 0.000431060791015625, 'mean': -0.0034145559184253216, 'log_var': 0.004254708997905254, 'epoch': 0}
{'train_recon_loss': 0.6934525966644287, 'train_kld': 1.715282996883616e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.07611083984375, 'rewards_rejected': -0.07550048828125, 'embeddings_chosen': 0.00015926361083984375, 'embeddings_rejected': 0.0002765655517578125, 'mean': -0.0034829317592084408, 'log_var': 0.0037186327390372753, 'epoch': 0}
{'train_recon_loss': 0.6932085752487183, 'train_kld': 1.6233210772043094e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.0531005859375, 'rewards_rejected': -0.052978515625, 'embeddings_chosen': 0.000339508056640625, 'embeddings_rejected': 0.0005340576171875, 'mean': -0.004106403328478336, 'log_var': 0.004428086336702108, 'epoch': 0}
{'train_recon_loss': 0.692415714263916, 'train_kld': 1.6696340026101097e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0716552734375, 'rewards_rejected': -0.0731201171875, 'embeddings_chosen': 0.00021457672119140625, 'embeddings_rejected': 0.0003986358642578125, 'mean': -0.0027049982454627752, 'log_var': 0.005513373296707869, 'epoch': 0}
{'eval_loss': 0.6930869817733765, 'eval_accuracy': 0.49552005529403687, 'eval_kld': 3.4305121898651123, 'eval_mean_embeddings': <wandb.sdk.data_types.image.Image object at 0x7fe802c52350>, 'eval_z_embeddings': <wandb.sdk.data_types.image.Image object at 0x7fe80366e0b0>, 'eval_runtime': 512.9196, 'eval_samples_per_second': 10.009, 'eval_steps_per_second': 10.009, 'epoch': 0.0}
{'train_recon_loss': 0.6928728818893433, 'train_kld': 9.539031452732161e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.0611572265625, 'rewards_rejected': -0.06170654296875, 'embeddings_chosen': 0.00020885467529296875, 'embeddings_rejected': 0.0002899169921875, 'mean': -0.003733366960659623, 'log_var': 0.0029661571606993675, 'epoch': 0.0}
{'train_recon_loss': 0.6933609247207642, 'train_kld': 9.60185207077302e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.07611083984375, 'rewards_rejected': -0.07568359375, 'embeddings_chosen': 0.00035858154296875, 'embeddings_rejected': 0.00016117095947265625, 'mean': -0.004363907966762781, 'log_var': 0.0041410611011087894, 'epoch': 0.0}
{'train_recon_loss': 0.6922029852867126, 'train_kld': 0.00010787126666400582, 'train_accuracy': 0.75, 'rewards_chosen': -0.06451416015625, 'rewards_rejected': -0.06640625, 'embeddings_chosen': 0.00023555755615234375, 'embeddings_rejected': 0.0002040863037109375, 'mean': -0.003267585998401046, 'log_var': 0.005509009584784508, 'epoch': 0.0}
{'train_recon_loss': 0.6926288604736328, 'train_kld': 0.00010189384192926809, 'train_accuracy': 0.75, 'rewards_chosen': -0.081298828125, 'rewards_rejected': -0.08233642578125, 'embeddings_chosen': 0.0003528594970703125, 'embeddings_rejected': 0.000537872314453125, 'mean': -0.0022593210451304913, 'log_var': 0.0035612417850643396, 'epoch': 0.0}
{'train_recon_loss': 0.6932324171066284, 'train_kld': 0.000106162900920026, 'train_accuracy': 0.5, 'rewards_chosen': -0.0290679931640625, 'rewards_rejected': -0.028900146484375, 'embeddings_chosen': 3.0994415283203125e-05, 'embeddings_rejected': 0.000179290771484375, 'mean': -0.0035352506674826145, 'log_var': 0.005636613816022873, 'epoch': 0.0}
{'train_recon_loss': 0.6922329664230347, 'train_kld': 9.822106221690774e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0673828125, 'rewards_rejected': -0.0692138671875, 'embeddings_chosen': 0.00022792816162109375, 'embeddings_rejected': 0.0003604888916015625, 'mean': -0.004034619778394699, 'log_var': 0.0033451877534389496, 'epoch': 0.0}
